"id","Region","Rooms","Area","Price","Street","Zip","City"
6213,Basel-Stadt,"1.5","81","2010",Rumelinbachweg 10,"4054",Basel
6214,Basel-Stadt,"1.5","55","1640",Rumelinbachweg 12,"4054",Basel
6215,Basel-Stadt,"3.5","142","3730",Riehenring 174,"4058",Basel
6217,Basel-Stadt,"3.5","80","2043",Blasiring 7,"4057",Basel
6220,Basel-Stadt,"5.5","146","4845",Guterstrasse 108,"4053",Basel
6221,Basel-Stadt,"3","83","1800",Fatiostrasse 35,"4056",Basel
6222,Basel-Stadt,"2","75","1864",Furfelderstr. 32,"4125",Riehen
6232,Basel-Stadt,"3.5","76","1960",Birkenstrasse 35,"4055",Basel
6233,Basel-Stadt,"2","49","1490",Utengasse 44,"4058",Basel
6237,Basel-Stadt,"2.5","57","1350",Huningerstrasse 18,"4056",Basel
6238,Basel-Stadt,"3","67","1650",Burgfelderstr. 193,"4055",Basel
6239,Basel-Stadt,"3.5","79","1590",Offenburgerstrasse 47,"4057",Basel
6240,Basel-Stadt,"2","47","1350",Pfeffingerstrasse 99,"4053",Basel
6242,Basel-Stadt,"1","73","1600",Steinenvorstadt 6,"4051",Basel
6244,Basel-Stadt,"3.5","90","2768",Paulusgasse 4,"4051",Basel
6246,Basel-Stadt,"4.5","119","3850",Marignanostrasse 85,"4059",Basel
6247,Basel-Stadt,"3","100","2750",Gatternweg 21,"4125",Riehen
6250,Basel-Stadt,"4.5","95","2840",Laufenstrasse 4,"4053",Basel
6251,Basel-Stadt,"4","100","2050",Allschwilerstrasse 99,"4055",Basel
6253,Basel-Stadt,"3","65","2340",Spalenberg 56,"4051",Basel
6254,Basel-Stadt,"1.5","78","2020",Riehenring 174,"4058",Basel
6258,Basel-Stadt,"3","68","1500",Kappeligasse 34,"4125",Riehen
6259,Basel-Stadt,"4.5","126","3150",Bosenhaldenweg 26,"4125",Riehen
6260,Basel-Stadt,"5.5","146","4785",Guterstrasse 108,"4053",Basel
6261,Basel-Stadt,"5","100","3221",Burgstrasse 114,"4125",Riehen
6262,Basel-Stadt,"2.5","105","2990",Munchensteinerstrasse117,"4053",Basel
6264,Basel-Stadt,"4.5","126","2890",Wanderstrasse 65,"4054",Basel
6265,Basel-Stadt,"2","60","1260",Wasgenring 68,"4055",Basel
6266,Basel-Stadt,"2.5","51","1470",Elsasserstrasse 105,"4056",Basel
6267,Basel-Stadt,"2.5","137","2100",Florastrasse 14,"4057",Basel
6269,Basel-Stadt,"3","70","1490",Davidsbodenstrasse 37,"4056",Basel
6270,Basel-Stadt,"1.5","35","910",Froburgstrasse 18,"4052",Basel
6271,Basel-Stadt,"1","17","990",Markircherstrasse,"4055",Basel
6272,Basel-Stadt,"3","67","1950",Stellimattweg 40,"4125",Riehen
6273,Basel-Stadt,"2.5","55","1960",St. Alban-Anlage 40,"4052",Basel
6274,Basel-Stadt,"4.5","130","3924",Lautengartenstrasse 7,"4052",Basel
6275,Basel-Stadt,"3","60","1550",Schlossgasse 7,"4057",Basel
6277,Basel-Stadt,"2","42","1430",Elsasserstrasse 113,"4056",Basel
6278,Basel-Stadt,"4","150","1950",Erlenstrasse 96,"4058",Basel
6279,Basel-Stadt,"2.5","54","1440",Entenweidstrasse 4,"4056",Basel
6280,Basel-Stadt,"2.5","57","1778",Lorracherstrasse 146,"4125",Riehen
6281,Basel-Stadt,"3","84","1850",Sperrstrasse 107,"4057",Basel
6282,Basel-Stadt,"2.5","64","2040",Bechburgerstrasse 2,"4052",Basel
6283,Basel-Stadt,"3.5","92","3100",Thiersteinerrain 90,"4059",Basel
6284,Basel-Stadt,"2.5","100","2172",Herrengrabenweg 21,"4054",Basel
6285,Basel-Stadt,"1.5","91","2790",Munchensteinerstrasse 117,"4053",Basel
6286,Basel-Stadt,"3.5","70","1690",Paradiesstrasse 15,"4125",Riehen
6287,Basel-Stadt,"3.5","88","1740",St. Johanns-Ring 115,"4056",Basel
6288,Basel-Stadt,"4.5","126","2890",Wanderstrasse 65,"4054",Basel
6289,Basel-Stadt,"2","60","1260",Wasgenring 68,"4055",Basel
6290,Basel-Stadt,"2.5","51","1470",Elsasserstrasse 105,"4056",Basel
6291,Basel-Stadt,"3","70","1490",Davidsbodenstrasse 37,"4056",Basel
6292,Basel-Stadt,"3","134","1990",Ackerstrasse 41,"4057",Basel
6293,Basel-Stadt,"3.5","120","1950",Bartenheimerstrasse 35,"4055",Basel
6294,Basel-Stadt,"3","67","1640",Laufenstr. 13,"4053",Basel
6295,Basel-Stadt,"3.5","80","2031",Lorracherstrasse 146,"4125",Riehen
6296,Basel-Stadt,"3.5","88","2585",Lorracherstrasse 146,"4125",Riehen
6297,Basel-Stadt,"3.5","101","3800",Benkenstrasse 60,"4054",Basel
6298,Basel-Stadt,"3.5","94","2090",Frobenstrasse 23,"4053",Basel
6299,Basel-Stadt,"2","68","1725",Riehenstr. 137,"4058",Basel
6301,Basel-Stadt,"2","60","1290",Rosentalstrasse 31,"4058",Basel
6302,Basel-Stadt,"1","32","880",Petersgraben 21,"4051",Basel
6303,Basel-Stadt,"2.5","60","1700",Riehenring 176/178/180 /Haus C,"4058",Basel
6306,Basel-Stadt,"3","76","1520",Karl Jaspers-Allee 5,"4052",Basel
6307,Basel-Stadt,"1","15","1150",Maulbeerstrasse 49,"4058",Basel
6308,Basel-Stadt,"5.5","155","5000",Steinenring 10,"4054",Basel
